No Rehab",,,,,
,,Product,Borrower Level,Min. Experience 36 mos.,Prod and Br,Min. FICO:,Qualification Key,Loan Amount Tier,Min. Loan:,Max. Loan:,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,Direct Origination Fee:**,InDirect Origination Fee:**,Tier 1,,Tier 2,,Tier 3,,,,Borrower Experience Calculator,,,Borrower Experience Calculator,,,,,,,,,,,,,,,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,,,
,,,,,,,,,,,Purchase LTV,Purchase LTARV,Purchase LTC,Purchase BF RehabLTV,Purchase BF RehabLTARV,Purchase BF RehabLTC,Refinance LF RehabLTV,Refinance LF RehabLTARV,Refinance LF RehabLTC,Bridge Purchase no RehabLTV,Bridge Purchase no RehabLTARV,Bridge Purchase no RehabLTC,REFILTV,REFILTARV,REFILTC,Bridge Cash out no RehabLTV,Bridge Cash out no RehabLTARV,Bridge Cash out no RehabLTC,Direct Origination,Indirect Origination,Tier 1,,Tier 2,,Tier 3,,,,Units Count in 36 mos,Experience Tier,,Min Experience,Min Experience Tier,,,,Helper - HF to Dig in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FNF,D,1,FNFD1,720,#N/A,1,"$150,000 ","$999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,10.154%,10.154%,10.204%,10.204%,10.254%,10.254%,,,,,,,,,,,,,,,,,,,,,77.5%,72.5%,82.5%,77.5%,72.5%,82.5%,77.5%,72.5%,80.0%,72.5%,72.5%,80.0%,72.5%,72.5%,80.0%,67.5%,67.5%,72.5%,,,
,,FNF,D,1,FNFD1,700,#N/A,4,"$3,500,000 ","$4,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,10.779%,10.779%,10.829%,10.829%,10.879%,10.879%,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,FNF,D,1,FNFD1,700,#N/A,3,"$2,000,000 ","$3,499,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,10.529%,10.529%,10.579%,10.579%,10.629%,10.629%,,,,,,,,,,,,,,,,,,,,,77.5%,70.0%,82.5%,77.5%,70.0%,82.5%,75.0%,70.0%,80.0%,70.0%,70.0%,80.0%,70.0%,70.0%,80.0%,65.0%,65.0%,72.5%,,,
,,FNF,D,1,FNFD1,700,#N/A,2,"$1,000,000 ","$1,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,10.279%,10.279%,10.329%,10.329%,10.379%,10.379%,,,,,,,,,,,,,,,,,,,,,77.5%,70.0%,82.5%,77.5%,70.0%,82.5%,77.5%,70.0%,80.0%,72.5%,72.5%,80.0%,72.5%,72.5%,80.0%,67.5%,65.0%,72.5%,,,
,,FNF,D,1,FNFD1,700,#N/A,1,"$150,000 ","$999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,10.279%,10.279%,10.329%,10.329%,10.379%,10.379%,,,,,,,,,,,,,,,,,,,,,77.5%,72.5%,82.5%,77.5%,72.5%,82.5%,77.5%,72.5%,80.0%,72.5%,72.5%,80.0%,72.5%,72.5%,80.0%,67.5%,67.5%,72.5%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Row,Loan Amount,,Experience,FICO,Borrower Level,LA Tier,Min. Loan:,Max. Loan:,LA Tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,"  3,500,000 ","  4,999,999 ",1,680,A,4,"  3,500,000 ","  4,999,999 ",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,"  2,000,000 ","  3,499,999 ",1,680,A,3,"  2,000,000 ","  3,499,999 ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,"  1,000,000 ","  1,999,999 ",1,680,A,2,"  1,000,000 ","  1,999,999 ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,"  150,000 ","  999,999 ",1,680,A,1,"  150,000 ","  999,999 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,0,0,B,4,"  3,500,000 ","  4,999,999 ",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,0,0,B,3,"  2,000,000 ","  3,499,999 ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,0,0,B,2,"  1,000,000 ","  1,999,999 ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,1,"  150,000 ","  999,999 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,* No Borrower Mid Rehab Refinance is Allowed ,,,,,C,4,"  3,500,000 ","  4,999,999 ",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,**Min Points Direct,,,,"  1,500 ",C,3,"  2,000,000 ","  3,499,999 ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,**Min Points Indirect (via broker),,,,"  1,500 ",C,2,"  1,000,000 ","  1,999,999 ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,C,1,"  150,000 ","  999,999 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,D,4,"  3,500,000 ","  4,999,999 ",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,D,3,"  2,000,000 ","  3,499,999 ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,D,2,"  1,000,000 ","  1,999,999 ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,D,1,"  150,000 ","  999,999 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
